0	0	0
255	162	0
255	165	0
255	167	0
255	170	0
255	172	0
255	174	0
255	177	0
255	179	0
255	181	0
255	184	0
255	186	0
255	189	0
255	191	0
255	193	0
255	196	0
255	198	0
255	200	0
255	203	0
255	205	0
255	208	0
255	210	0
255	212	0
255	215	0
255	217	0
255	219	0
255	222	0
255	224	0
255	227	0
255	229	0
255	231	0
255	234	0
255	236	0
255	238	0
255	241	0
255	243	0
255	246	0
255	248	0
255	249	0
255	250	0
255	251	0
255	253	0
255	255	0
255	254	0
249	252	0
243	249	0
237	246	0
231	243	0
225	240	0
219	237	0
213	234	0
208	231	0
202	228	0
196	225	0
190	222	0
184	219	0
178	216	0
172	213	0
166	210	0
160	207	0
154	204	0
148	201	0
142	198	0
136	195	0
130	193	0
125	190	0
119	187	0
113	184	0
107	181	0
101	178	0
95	175	0
89	172	0
83	169	0
77	166	0
71	163	0
65	160	0
59	157	0
53	154	0
47	151	0
42	148	0
36	145	0
30	142	0
24	139	0
18	136	0
12	133	0
6	130	0
0	130	0
0	130	6
0	133	12
0	136	19
0	139	25
0	143	31
0	146	37
0	149	44
0	152	50
0	155	56
0	158	62
0	161	68
0	164	75
0	168	81
0	171	87
0	174	93
0	177	100
0	180	106
0	183	112
0	186	118
0	189	124
0	193	131
0	196	137
0	199	143
0	202	149
0	205	155
0	208	162
0	211	168
0	214	174
0	218	180
0	221	187
0	224	193
0	227	199
0	230	205
0	233	211
0	236	218
0	239	224
0	243	230
0	246	236
0	249	243
0	252	249
0	254	255
0	255	255
0	253	255
0	249	255
0	243	255
0	237	255
0	231	255
0	225	255
0	219	255
0	213	255
0	208	255
0	202	255
0	196	255
0	190	255
0	184	255
0	178	255
0	172	255
0	166	255
0	160	255
0	154	255
0	148	255
0	142	255
0	136	255
0	130	255
0	125	255
0	119	255
0	113	255
0	107	255
0	101	255
0	95	255
0	89	255
0	83	255
0	77	255
0	71	255
0	65	255
0	59	255
0	53	255
0	47	255
0	42	255
0	36	255
0	30	255
0	24	255
0	18	255
0	12	255
0	6	255
0	0	255
0	0	251
0	0	248
0	0	244
0	0	241
0	0	237
0	0	233
0	0	230
0	0	226
0	0	223
0	0	219
0	0	215
0	0	212
0	0	208
0	0	205
0	0	201
0	0	197
0	0	194
0	0	190
0	0	187
0	0	183
0	0	179
0	0	176
0	0	172
0	0	168
0	0	165
0	0	161
0	0	158
0	0	154
0	0	150
0	0	147
0	0	143
0	0	140
0	0	136
0	0	132
0	0	129
0	0	125
0	0	122
0	0	118
0	0	114
0	0	111
0	0	107
0	0	104
0	0	100
2	2	100
4	4	100
6	6	100
8	8	100
10	10	100
12	12	100
14	14	100
16	16	100
18	18	100
20	20	100
22	22	100
24	24	100
26	26	100
28	28	100
30	30	100
32	32	100
34	34	90
36	36	90
38	38	90
40	40	90
42	42	90
44	44	90
46	46	90
48	48	90
50	50	90
52	52	90
54	54	90
56	56	90
58	58	90
60	60	80
62	62	80
64	64	80
66	66	80
68	68	80
70	70	80
72	72	80
74	74	80
76	76	80
78	78	80
80	80	80
